year,id_,marital,childs,age,degree,sex,happy,satjob,realrinc,ballot
2016,325,divorced,4,32,high school,female,not too happy,a little dissatisfied,NA,ballot c
2016,326,married,4,68,high school,female,pretty happy,NA,NA,ballot a
2016,327,never married,3,39,high school,male,pretty happy,moderately satisfied,21060,ballot c
2016,328,never married,0,21,high school,female,very happy,NA,9945,ballot a
2016,329,divorced,3,52,bachelor's,female,very happy,very satisfied,164382.03756,ballot a
2016,330,married,2,46,bachelor's,male,pretty happy,very satisfied,164382.03756,ballot a
2016,331,married,2,56,high school,male,pretty happy,NA,NA,ballot c
2016,332,married,2,60,bachelor's,male,very happy,moderately satisfied,46800,ballot b
2016,333,never married,0,22,high school,male,very happy,moderately satisfied,NA,ballot b
2016,334,married,4,42,high school,male,very happy,very dissatisfied,2574,ballot a
2016,335,married,3,35,high school,male,not too happy,moderately satisfied,25740,ballot c
2016,336,divorced,3,42,bachelor's,female,pretty happy,very satisfied,56160,ballot b
2016,337,married,1,58,bachelor's,male,very happy,very satisfied,74880,ballot c
2016,338,married,1,32,bachelor's,female,pretty happy,very satisfied,38610,ballot b
2016,339,married,3,59,bachelor's,female,very happy,NA,NA,ballot a
2016,340,never married,0,20,high school,male,pretty happy,NA,1638,ballot b
2016,341,married,2,44,graduate,male,very happy,very satisfied,38610,ballot c
2016,342,married,2,34,high school,female,pretty happy,very satisfied,9945,ballot b
2016,343,married,1,62,graduate,female,very happy,very satisfied,74880,ballot c
2016,344,never married,0,59,bachelor's,male,pretty happy,a little dissatisfied,7605,ballot b
2016,345,never married,0,51,bachelor's,female,pretty happy,moderately satisfied,21060,ballot c
2016,346,never married,0,37,graduate,male,pretty happy,moderately satisfied,8775,ballot b
2016,347,divorced,3,50,graduate,male,pretty happy,very satisfied,NA,ballot b
2016,348,divorced,2,40,high school,female,not too happy,a little dissatisfied,9945,ballot a
2016,349,never married,1,53,high school,male,pretty happy,a little dissatisfied,15210,ballot b
2016,350,divorced,2,52,high school,male,pretty happy,NA,25740,ballot a
2016,351,married,5,52,high school,female,very happy,very satisfied,2106,ballot c
2016,352,married,1,36,graduate,female,very happy,very satisfied,NA,ballot a
2016,353,married,2,46,high school,female,pretty happy,a little dissatisfied,38610,ballot b
2016,354,married,4,56,high school,male,pretty happy,NA,21060,ballot a
2016,355,married,1,64,high school,female,very happy,very satisfied,NA,ballot c
2016,356,married,3,62,graduate,female,pretty happy,a little dissatisfied,5265,ballot c
2016,357,married,2,35,bachelor's,female,pretty happy,very satisfied,12870,ballot c
2016,358,never married,0,60,associate/junior college,male,pretty happy,moderately satisfied,38610,ballot b
2016,359,separated,2,36,associate/junior college,female,pretty happy,very satisfied,31590,ballot c
2016,360,widowed,2,62,high school,female,very happy,NA,164382.03756,ballot a
2016,361,married,1,30,high school,male,pretty happy,very satisfied,31590,ballot c
2016,362,never married,1,27,high school,male,pretty happy,very satisfied,21060,ballot b
2016,363,married,4,79,graduate,male,pretty happy,NA,21060,ballot a
2016,364,married,3,60,high school,female,pretty happy,moderately satisfied,25740,ballot c
2016,365,married,5,51,graduate,male,very happy,NA,74880,ballot a
2016,366,divorced,1,42,high school,female,not too happy,very satisfied,21060,ballot b
2016,367,married,1,59,less than high school,male,pretty happy,NA,NA,ballot a
2016,368,married,0,49,high school,male,pretty happy,NA,6435,ballot b
2016,369,married,2,53,high school,female,very happy,NA,NA,ballot a
2016,370,married,2,47,high school,male,very happy,very satisfied,5265,ballot c
